Master Planning Family,Product Department,Product Group,Product Line,Product Price Group,Product Sub Group,Product Type,Short Name
TRK, ,3,1,N,33,30,10295
TRK, ,3,1,N,33,30,10295
TRK, ,3,1,N,33,30,10295
G17,1,3,1, ,33,30,10295
G17,1,3,1, ,33,30,10295
G17,1,3,1, ,33,30,10295
0,        ,3,1,300,33,30,10295
0,        ,3,1,300,33,30,10295
0,        ,3,1,300,33,30,10295
30,1,13,1,N,34,5,10393
30,1,13,1,N,34,5,10393
30,1,13,1,N,34,5,10393
 ,   ,13,1,N,34,5,10393
 ,   ,13,1,N,34,5,10393
 ,   ,13,1,N,34,5,10393
G17,1,13,1, ,34,5,10393
G17,1,13,1, ,34,5,10393
G17,1,13,1, ,34,5,10393
30,1,6,1,N,96,9,10656
30,1,6,1,N,96,9,10656
30,1,6,1,N,96,9,10656
50,1,6,1,N,96,9,10656
50,1,6,1,N,96,9,10656
50,1,6,1,N,96,9,10656
G17,1,6,1, ,96,9,10656
G17,1,6,1, ,96,9,10656
G17,1,6,1, ,96,9,10656
G03,1,19,1, ,61,47,10814
G03,1,19,1, ,61,47,10814
G03,1,19,1, ,61,47,10814
   ,N,19,1,0,61,47,10814
   ,N,19,1,0,61,47,10814
   ,N,19,1,0,61,47,10814
0, ,19,1,1,61,47,10814
0, ,19,1,1,61,47,10814
0, ,19,1,1,61,47,10814
10,1,6,1,N,62,47,10018
10,1,6,1,N,62,47,10018
10,1,6,1,N,62,47,10018
50,1,6,1,N,62,47,10018
50,1,6,1,N,62,47,10018
50,1,6,1,N,62,47,10018
50,1,21,1,N,54,44,10229
50,1,21,1,N,54,44,10229
50,1,21,1,N,54,44,10229
 ,   ,21,1,N,54,44,10229
 ,   ,21,1,N,54,44,10229
 ,   ,21,1,N,54,44,10229
0, ,21,1,1,54,44,10229
0, ,21,1,1,54,44,10229
0, ,21,1,1,54,44,10229
SRS, ,6,1,N,97,10,10346
SRS, ,6,1,N,97,10,10346
SRS, ,6,1,N,97,10,10346
G17,1,6,1, ,97,10,10346
G17,1,6,1, ,97,10,10346
G17,1,6,1, ,97,10,10346
G17,1,6,1, ,97,10,10346
G17,1,6,1, ,97,10,10346
G17,1,6,1, ,97,10,10346
 ,   ,2,1,N,26,4,10588
 ,   ,2,1,N,26,4,10588
 ,   ,2,1,N,26,4,10588
G13,1,2,1, ,26,4,10588
G13,1,2,1, ,26,4,10588
G13,1,2,1, ,26,4,10588
G13,1,2,1, ,26,4,10588
G13,1,2,1, ,26,4,10588
G13,1,2,1, ,26,4,10588
   ,      ,5,1,   ,35,5,10951
   ,      ,5,1,   ,35,5,10951
   ,      ,5,1,   ,35,5,10951
50,1,5,1,N,35,5,10951
50,1,5,1,N,35,5,10951
50,1,5,1,N,35,5,10951
 ,   ,5,1,N,35,5,10951
 ,   ,5,1,N,35,5,10951
 ,   ,5,1,N,35,5,10951
TRK, ,4,2,N,90,28,10296
TRK, ,4,2,N,90,28,10296
TRK, ,4,2,N,90,28,10296
G17,1,4,2, ,90,28,10296
G17,1,4,2, ,90,28,10296
G17,1,4,2, ,90,28,10296
G17,1,4,2, ,90,28,10296
G17,1,4,2, ,90,28,10296
G17,1,4,2, ,90,28,10296
50,1,11,1,N,81,33,10378
50,1,11,1,N,81,33,10378
50,1,11,1,N,81,33,10378
50,1,11,1,N,81,33,10378
50,1,11,1,N,81,33,10378
50,1,11,1,N,81,33,10378
A01,ATV,11,1,0,81,33,10378
A01,ATV,11,1,0,81,33,10378
A01,ATV,11,1,0,81,33,10378
   ,      ,6,1,   ,93,14,10030
   ,      ,6,1,   ,93,14,10030
   ,      ,6,1,   ,93,14,10030
P01,      ,6,1,   ,93,14,10030
P01,      ,6,1,   ,93,14,10030
P01,      ,6,1,   ,93,14,10030
G19,1,6,1, ,93,14,10030
G19,1,6,1, ,93,14,10030
G19,1,6,1, ,93,14,10030
50,1,6,1,N,97,10,10657
50,1,6,1,N,97,10,10657
50,1,6,1,N,97,10,10657
G17,1,6,1, ,97,10,10657
G17,1,6,1, ,97,10,10657
G17,1,6,1, ,97,10,10657
   ,N,6,1,0,97,10,10657
   ,N,6,1,0,97,10,10657
   ,N,6,1,0,97,10,10657
   ,1,19,1, ,99,26,10815
   ,1,19,1, ,99,26,10815
   ,1,19,1, ,99,26,10815
G17,1,19,1, ,99,26,10815
G17,1,19,1, ,99,26,10815
G17,1,19,1, ,99,26,10815
G03,1,19,1, ,99,26,10815
G03,1,19,1, ,99,26,10815
G03,1,19,1, ,99,26,10815
50,1,6,1,N,58,13,10965
50,1,6,1,N,58,13,10965
50,1,6,1,N,58,13,10965
TRK, ,6,1,N,58,13,10965
TRK, ,6,1,N,58,13,10965
TRK, ,6,1,N,58,13,10965
30,1,6,1,N,58,13,10019
30,1,6,1,N,58,13,10019
30,1,6,1,N,58,13,10019
50,1,6,1,N,58,13,10019
50,1,6,1,N,58,13,10019
50,1,6,1,N,58,13,10019
30,1,21,1,N,54,44,10230
30,1,21,1,N,54,44,10230
30,1,21,1,N,54,44,10230
0, ,21,1,1,54,44,10230
0, ,21,1,1,54,44,10230
0, ,21,1,1,54,44,10230
0,        ,21,1,300,54,44,10230
0,        ,21,1,300,54,44,10230
0,        ,21,1,300,54,44,10230
   ,      ,5,1,   ,35,5,10952
   ,      ,5,1,   ,35,5,10952
   ,      ,5,1,   ,35,5,10952
N,EP4101,5,1,        ,35,5,10952
N,EP4101,5,1,        ,35,5,10952
N,EP4101,5,1,        ,35,5,10952
10,1,11,1,N,16,43,10691
10,1,11,1,N,16,43,10691
10,1,11,1,N,16,43,10691
50,1,11,1,N,16,43,10691
50,1,11,1,N,16,43,10691
50,1,11,1,N,16,43,10691
   ,1,11,1, ,16,43,10691
   ,1,11,1, ,16,43,10691
   ,1,11,1, ,16,43,10691
30,1,3,1,N,31,30,10297
30,1,3,1,N,31,30,10297
30,1,3,1,N,31,30,10297
G17,1,3,1, ,31,30,10297
G17,1,3,1, ,31,30,10297
G17,1,3,1, ,31,30,10297
G13,1,3,1, ,31,30,10297
G13,1,3,1, ,31,30,10297
G13,1,3,1, ,31,30,10297
30,1,4,2,N,30,41,10623
30,1,4,2,N,30,41,10623
30,1,4,2,N,30,41,10623
 ,   ,4,2,N,30,41,10623
 ,   ,4,2,N,30,41,10623
 ,   ,4,2,N,30,41,10623
G17,1,4,2, ,30,41,10623
G17,1,4,2, ,30,41,10623
G17,1,4,2, ,30,41,10623
50,1,11,1,N,16,43,10075
50,1,11,1,N,16,43,10075
50,1,11,1,N,16,43,10075
   ,1,11,1, ,16,43,10075
   ,1,11,1, ,16,43,10075
   ,1,11,1, ,16,43,10075
G17,1,11,1, ,16,43,10075
G17,1,11,1, ,16,43,10075
G17,1,11,1, ,16,43,10075
0, ,11,1,1,16,43,10075
0, ,11,1,1,16,43,10075
0, ,11,1,1,16,43,10075
10,1,22,1,N,36,7,10254
10,1,22,1,N,36,7,10254
10,1,22,1,N,36,7,10254
50,1,22,1,N,36,7,10254
50,1,22,1,N,36,7,10254
50,1,22,1,N,36,7,10254
G13,1,22,1, ,36,7,10254
G13,1,22,1, ,36,7,10254
G13,1,22,1, ,36,7,10254
   ,      ,4,2,   ,30,41,10312
   ,      ,4,2,   ,30,41,10312
   ,      ,4,2,   ,30,41,10312
50,1,4,2,N,30,41,10312
50,1,4,2,N,30,41,10312
50,1,4,2,N,30,41,10312
   ,1,4,2, ,30,41,10312
   ,1,4,2, ,30,41,10312
   ,1,4,2, ,30,41,10312
   ,1,6,1, ,98,11,10658
   ,1,6,1, ,98,11,10658
   ,1,6,1, ,98,11,10658
G17,1,6,1, ,98,11,10658
G17,1,6,1, ,98,11,10658
G17,1,6,1, ,98,11,10658
0, ,6,1,1,98,11,10658
0, ,6,1,1,98,11,10658
0, ,6,1,1,98,11,10658
G17,1,19,1, ,67,36,10816
G17,1,19,1, ,67,36,10816
G17,1,19,1, ,67,36,10816
G03,1,19,1, ,67,36,10816
G03,1,19,1, ,67,36,10816
G03,1,19,1, ,67,36,10816
0, ,19,1,1,67,36,10816
0, ,19,1,1,67,36,10816
0, ,19,1,1,67,36,10816
   ,      ,6,1,   ,62,47,10966
   ,      ,6,1,   ,62,47,10966
   ,      ,6,1,   ,62,47,10966
50,1,6,1,N,62,47,10966
50,1,6,1,N,62,47,10966
50,1,6,1,N,62,47,10966
TRK, ,6,1,N,62,47,10966
TRK, ,6,1,N,62,47,10966
TRK, ,6,1,N,62,47,10966
30,1,6,1,N,58,13,10649
30,1,6,1,N,58,13,10649
30,1,6,1,N,58,13,10649
 ,   ,6,1,N,58,13,10649
 ,   ,6,1,N,58,13,10649
 ,   ,6,1,N,58,13,10649
   ,1,6,1, ,58,13,10649
   ,1,6,1, ,58,13,10649
   ,1,6,1, ,58,13,10649
P01,      ,12,1,   ,66,22,10702
P01,      ,12,1,   ,66,22,10702
P01,      ,12,1,   ,66,22,10702
G04,1,12,1, ,66,22,10702
G04,1,12,1, ,66,22,10702
G04,1,12,1, ,66,22,10702
N,R55410010,12,1,        ,66,22,10702
N,R55410010,12,1,        ,66,22,10702
N,R55410010,12,1,        ,66,22,10702
TRK, ,5,1,N,35,5,10953
TRK, ,5,1,N,35,5,10953
TRK, ,5,1,N,35,5,10953
TRK, ,5,1,N,35,5,10953
TRK, ,5,1,N,35,5,10953
TRK, ,5,1,N,35,5,10953
 ,   ,13,1,N,9,24,10725
 ,   ,13,1,N,9,24,10725
 ,   ,13,1,N,9,24,10725
   ,1,13,1, ,9,24,10725
   ,1,13,1, ,9,24,10725
   ,1,13,1, ,9,24,10725
G17,1,13,1, ,9,24,10725
G17,1,13,1, ,9,24,10725
G17,1,13,1, ,9,24,10725
G17,1,4,2, ,30,41,10001
G17,1,4,2, ,30,41,10001
G17,1,4,2, ,30,41,10001
S02,SRS,4,2,0,30,41,10001
S02,SRS,4,2,0,30,41,10001
S02,SRS,4,2,0,30,41,10001
0, ,4,2,1,30,41,10001
0, ,4,2,1,30,41,10001
0, ,4,2,1,30,41,10001
10,1,3,1,N,4,1,10298
10,1,3,1,N,4,1,10298
10,1,3,1,N,4,1,10298
50,1,3,1,N,4,1,10298
50,1,3,1,N,4,1,10298
50,1,3,1,N,4,1,10298
0, ,3,1,1,4,1,10298
0, ,3,1,1,4,1,10298
0, ,3,1,1,4,1,10298
   ,      ,11,1,   ,81,33,10379
   ,      ,11,1,   ,81,33,10379
   ,      ,11,1,   ,81,33,10379
30,1,11,1,N,81,33,10379
30,1,11,1,N,81,33,10379
30,1,11,1,N,81,33,10379
 ,   ,11,1,N,81,33,10379
 ,   ,11,1,N,81,33,10379
 ,   ,11,1,N,81,33,10379
30,1,4,2,N,52,20,10624
30,1,4,2,N,52,20,10624
30,1,4,2,N,52,20,10624
 ,   ,4,2,N,52,20,10624
 ,   ,4,2,N,52,20,10624
 ,   ,4,2,N,52,20,10624
G17,1,4,2, ,52,20,10624
G17,1,4,2, ,52,20,10624
G17,1,4,2, ,52,20,10624
10,1,4,2,N,52,20,10313
10,1,4,2,N,52,20,10313
10,1,4,2,N,52,20,10313
50,1,4,2,N,52,20,10313
50,1,4,2,N,52,20,10313
50,1,4,2,N,52,20,10313
   ,N,4,2,0,52,20,10313
   ,N,4,2,0,52,20,10313
   ,N,4,2,0,52,20,10313
TRK, ,6,1,N,58,13,10659
TRK, ,6,1,N,58,13,10659
TRK, ,6,1,N,58,13,10659
G17,1,6,1, ,58,13,10659
G17,1,6,1, ,58,13,10659
G17,1,6,1, ,58,13,10659
0, ,6,1,1,58,13,10659
0, ,6,1,1,58,13,10659
0, ,6,1,1,58,13,10659
30,1,19,1,N,1,45,10817
30,1,19,1,N,1,45,10817
30,1,19,1,N,1,45,10817
50,1,19,1,N,1,45,10817
50,1,19,1,N,1,45,10817
50,1,19,1,N,1,45,10817
G03,1,19,1, ,1,45,10817
G03,1,19,1, ,1,45,10817
G03,1,19,1, ,1,45,10817
50,1,22,1,N,36,7,10878
50,1,22,1,N,36,7,10878
50,1,22,1,N,36,7,10878
 ,0,22,1,0,36,7,10878
 ,0,22,1,0,36,7,10878
 ,0,22,1,0,36,7,10878
0, ,22,1,1,36,7,10878
0, ,22,1,1,36,7,10878
0, ,22,1,1,36,7,10878
   ,      ,6,1,   ,98,11,10347
   ,      ,6,1,   ,98,11,10347
   ,      ,6,1,   ,98,11,10347
N,EP4101,6,1,        ,98,11,10347
N,EP4101,6,1,        ,98,11,10347
N,EP4101,6,1,        ,98,11,10347
0, ,6,1,1,98,11,10347
0, ,6,1,1,98,11,10347
0, ,6,1,1,98,11,10347
50,1,21,1,N,45,44,10534
50,1,21,1,N,45,44,10534
50,1,21,1,N,45,44,10534
50,1,21,1,N,45,44,10534
50,1,21,1,N,45,44,10534
50,1,21,1,N,45,44,10534
G17,1,21,1, ,45,44,10534
G17,1,21,1, ,45,44,10534
G17,1,21,1, ,45,44,10534
50,1,2,1,N,26,4,10589
50,1,2,1,N,26,4,10589
50,1,2,1,N,26,4,10589
50,1,2,1,N,26,4,10589
50,1,2,1,N,26,4,10589
50,1,2,1,N,26,4,10589
 ,   ,2,1,N,26,4,10589
 ,   ,2,1,N,26,4,10589
 ,   ,2,1,N,26,4,10589
   ,      ,4,2,   ,52,20,10625
   ,      ,4,2,   ,52,20,10625
   ,      ,4,2,   ,52,20,10625
   ,      ,4,2,   ,52,20,10625
   ,      ,4,2,   ,52,20,10625
   ,      ,4,2,   ,52,20,10625
50,1,4,2,N,52,20,10625
50,1,4,2,N,52,20,10625
50,1,4,2,N,52,20,10625
 ,   ,3,1,N,50,1,10914
 ,   ,3,1,N,50,1,10914
 ,   ,3,1,N,50,1,10914
G17,1,3,1, ,50,1,10914
G17,1,3,1, ,50,1,10914
G17,1,3,1, ,50,1,10914
   ,N,3,1,0,50,1,10914
   ,N,3,1,0,50,1,10914
   ,N,3,1,0,50,1,10914
10,1,4,2,N,52,20,10314
10,1,4,2,N,52,20,10314
10,1,4,2,N,52,20,10314
G04,1,4,2, ,52,20,10314
G04,1,4,2, ,52,20,10314
G04,1,4,2, ,52,20,10314
   ,N,4,2,0,52,20,10314
   ,N,4,2,0,52,20,10314
   ,N,4,2,0,52,20,10314
10,1,1,2,N,44,3,10580
10,1,1,2,N,44,3,10580
10,1,1,2,N,44,3,10580
30,1,1,2,N,44,3,10580
30,1,1,2,N,44,3,10580
30,1,1,2,N,44,3,10580
   ,ATVSVP,1,2,0,44,3,10580
   ,ATVSVP,1,2,0,44,3,10580
   ,ATVSVP,1,2,0,44,3,10580
50,1,19,1,N,99,26,10818
50,1,19,1,N,99,26,10818
50,1,19,1,N,99,26,10818
   ,1,19,1, ,99,26,10818
   ,1,19,1, ,99,26,10818
   ,1,19,1, ,99,26,10818
G03,1,19,1, ,99,26,10818
G03,1,19,1, ,99,26,10818
G03,1,19,1, ,99,26,10818
   ,1,21,1, ,54,44,10231
   ,1,21,1, ,54,44,10231
   ,1,21,1, ,54,44,10231
G17,1,21,1, ,54,44,10231
G17,1,21,1, ,54,44,10231
G17,1,21,1, ,54,44,10231
0,        ,21,1,300,54,44,10231
0,        ,21,1,300,54,44,10231
0,        ,21,1,300,54,44,10231
50,1,19,1,N,61,47,10482
50,1,19,1,N,61,47,10482
50,1,19,1,N,61,47,10482
 ,   ,19,1,N,61,47,10482
 ,   ,19,1,N,61,47,10482
 ,   ,19,1,N,61,47,10482
0, ,19,1,1,61,47,10482
0, ,19,1,1,61,47,10482
0, ,19,1,1,61,47,10482
30,1,21,1,N,45,44,10535
30,1,21,1,N,45,44,10535
30,1,21,1,N,45,44,10535
30,1,21,1,N,45,44,10535
30,1,21,1,N,45,44,10535
30,1,21,1,N,45,44,10535
50,1,21,1,N,45,44,10535
50,1,21,1,N,45,44,10535
50,1,21,1,N,45,44,10535
   ,      ,2,1,   ,26,4,10590
   ,      ,2,1,   ,26,4,10590
   ,      ,2,1,   ,26,4,10590
 ,   ,2,1,N,26,4,10590
 ,   ,2,1,N,26,4,10590
 ,   ,2,1,N,26,4,10590
G13,1,2,1, ,26,4,10590
G13,1,2,1, ,26,4,10590
G13,1,2,1, ,26,4,10590
50,1,3,1,N,33,30,10299
50,1,3,1,N,33,30,10299
50,1,3,1,N,33,30,10299
   ,N,3,1,0,33,30,10299
   ,N,3,1,0,33,30,10299
   ,N,3,1,0,33,30,10299
 ,0,3,1,0,33,30,10299
 ,0,3,1,0,33,30,10299
 ,0,3,1,0,33,30,10299
30,1,11,1,N,16,43,10380
30,1,11,1,N,16,43,10380
30,1,11,1,N,16,43,10380
30,1,11,1,N,16,43,10380
30,1,11,1,N,16,43,10380
30,1,11,1,N,16,43,10380
 ,   ,11,1,N,16,43,10380
 ,   ,11,1,N,16,43,10380
 ,   ,11,1,N,16,43,10380
   ,      ,4,2,   ,19,15,10626
   ,      ,4,2,   ,19,15,10626
   ,      ,4,2,   ,19,15,10626
50,1,4,2,N,19,15,10626
50,1,4,2,N,19,15,10626
50,1,4,2,N,19,15,10626
ATV, ,4,2,N,19,15,10626
ATV, ,4,2,N,19,15,10626
ATV, ,4,2,N,19,15,10626
10,1,21,1,N,54,44,10851
10,1,21,1,N,54,44,10851
10,1,21,1,N,54,44,10851
   ,1,21,1, ,54,44,10851
   ,1,21,1, ,54,44,10851
   ,1,21,1, ,54,44,10851
   ,1,21,1, ,54,44,10851
   ,1,21,1, ,54,44,10851
   ,1,21,1, ,54,44,10851
10,1,19,1,N,61,47,10203
10,1,19,1,N,61,47,10203
10,1,19,1,N,61,47,10203
50,1,19,1,N,61,47,10203
50,1,19,1,N,61,47,10203
50,1,19,1,N,61,47,10203
 ,   ,19,1,N,61,47,10203
 ,   ,19,1,N,61,47,10203
 ,   ,19,1,N,61,47,10203
P01,      ,7,1,   ,3,26,10660
P01,      ,7,1,   ,3,26,10660
P01,      ,7,1,   ,3,26,10660
G08,1,7,1, ,3,26,10660
G08,1,7,1, ,3,26,10660
G08,1,7,1, ,3,26,10660
   ,N,7,1,0,3,26,10660
   ,N,7,1,0,3,26,10660
   ,N,7,1,0,3,26,10660
30,1,19,1,N,99,26,10819
30,1,19,1,N,99,26,10819
30,1,19,1,N,99,26,10819
G03,1,19,1, ,99,26,10819
G03,1,19,1, ,99,26,10819
G03,1,19,1, ,99,26,10819
 ,0,19,1,5,99,26,10819
 ,0,19,1,5,99,26,10819
 ,0,19,1,5,99,26,10819
50,1,6,1,N,58,13,10967
50,1,6,1,N,58,13,10967
50,1,6,1,N,58,13,10967
   ,SRS,6,1,0,58,13,10967
   ,SRS,6,1,0,58,13,10967
   ,SRS,6,1,0,58,13,10967
   ,      ,2,1,   ,25,4,10591
   ,      ,2,1,   ,25,4,10591
   ,      ,2,1,   ,25,4,10591
50,1,2,1,N,25,4,10591
50,1,2,1,N,25,4,10591
50,1,2,1,N,25,4,10591
 ,   ,2,1,N,25,4,10591
 ,   ,2,1,N,25,4,10591
 ,   ,2,1,N,25,4,10591
30,1,13,1,N,34,5,10088
30,1,13,1,N,34,5,10088
30,1,13,1,N,34,5,10088
50,1,13,1,N,34,5,10088
50,1,13,1,N,34,5,10088
50,1,13,1,N,34,5,10088
TRK, ,13,1,N,34,5,10088
TRK, ,13,1,N,34,5,10088
TRK, ,13,1,N,34,5,10088
G17,1,13,1, ,34,5,10088
G17,1,13,1, ,34,5,10088
G17,1,13,1, ,34,5,10088
G17,1,3,1, ,4,1,10300
G17,1,3,1, ,4,1,10300
G17,1,3,1, ,4,1,10300
 ,0,3,1,0,4,1,10300
 ,0,3,1,0,4,1,10300
 ,0,3,1,0,4,1,10300
 ,0,3,1,0,4,1,10300
 ,0,3,1,0,4,1,10300
 ,0,3,1,0,4,1,10300
   ,      ,21,1,   ,54,44,10852
   ,      ,21,1,   ,54,44,10852
   ,      ,21,1,   ,54,44,10852
G17,1,21,1, ,54,44,10852
G17,1,21,1, ,54,44,10852
G17,1,21,1, ,54,44,10852
G03,1,21,1, ,54,44,10852
G03,1,21,1, ,54,44,10852
G03,1,21,1, ,54,44,10852
30,1,13,1,N,110,24,10394
30,1,13,1,N,110,24,10394
30,1,13,1,N,110,24,10394
30,1,13,1,N,110,24,10394
30,1,13,1,N,110,24,10394
30,1,13,1,N,110,24,10394
 ,   ,13,1,N,110,24,10394
 ,   ,13,1,N,110,24,10394
 ,   ,13,1,N,110,24,10394
50,1,6,1,N,93,14,10968
50,1,6,1,N,93,14,10968
50,1,6,1,N,93,14,10968
   ,SRS,6,1,0,93,14,10968
   ,SRS,6,1,0,93,14,10968
   ,SRS,6,1,0,93,14,10968
30,1,2,1,N,26,4,10277
30,1,2,1,N,26,4,10277
30,1,2,1,N,26,4,10277
50,1,2,1,N,26,4,10277
50,1,2,1,N,26,4,10277
50,1,2,1,N,26,4,10277
G17,1,2,1, ,26,4,10277
G17,1,2,1, ,26,4,10277
G17,1,2,1, ,26,4,10277
50,1,2,1,N,26,4,10592
50,1,2,1,N,26,4,10592
50,1,2,1,N,26,4,10592
 ,   ,2,1,N,26,4,10592
 ,   ,2,1,N,26,4,10592
 ,   ,2,1,N,26,4,10592
G17,1,2,1, ,26,4,10592
G17,1,2,1, ,26,4,10592
G17,1,2,1, ,26,4,10592
30,1,12,1,N,66,22,10703
30,1,12,1,N,66,22,10703
30,1,12,1,N,66,22,10703
50,1,12,1,N,66,22,10703
50,1,12,1,N,66,22,10703
50,1,12,1,N,66,22,10703
N,EP4101,12,1,        ,66,22,10703
N,EP4101,12,1,        ,66,22,10703
N,EP4101,12,1,        ,66,22,10703
P01,      ,10,1,   ,11,18,10991
P01,      ,10,1,   ,11,18,10991
P01,      ,10,1,   ,11,18,10991
0, ,10,1,1,11,18,10991
0, ,10,1,1,11,18,10991
0, ,10,1,1,11,18,10991
 ,   ,19,1,N,1,45,10525
 ,   ,19,1,N,1,45,10525
 ,   ,19,1,N,1,45,10525
 ,   ,19,1,N,1,45,10525
 ,   ,19,1,N,1,45,10525
 ,   ,19,1,N,1,45,10525
G17,1,19,1, ,1,45,10525
G17,1,19,1, ,1,45,10525
G17,1,19,1, ,1,45,10525
50,1,21,1,N,54,44,10853
50,1,21,1,N,54,44,10853
50,1,21,1,N,54,44,10853
 ,   ,21,1,N,54,44,10853
 ,   ,21,1,N,54,44,10853
 ,   ,21,1,N,54,44,10853
G03,1,21,1, ,54,44,10853
G03,1,21,1, ,54,44,10853
G03,1,21,1, ,54,44,10853
50,1,7,1,N,3,26,10661
50,1,7,1,N,3,26,10661
50,1,7,1,N,3,26,10661
G08,1,7,1, ,3,26,10661
G08,1,7,1, ,3,26,10661
G08,1,7,1, ,3,26,10661
0, ,7,1,1,3,26,10661
0, ,7,1,1,3,26,10661
0, ,7,1,1,3,26,10661
   ,1,6,1, ,93,14,10969
   ,1,6,1, ,93,14,10969
   ,1,6,1, ,93,14,10969
   ,SRS,6,1,0,93,14,10969
   ,SRS,6,1,0,93,14,10969
   ,SRS,6,1,0,93,14,10969
   ,      ,19,1,   ,61,47,10483
   ,      ,19,1,   ,61,47,10483
   ,      ,19,1,   ,61,47,10483
G17,1,19,1, ,61,47,10483
G17,1,19,1, ,61,47,10483
G17,1,19,1, ,61,47,10483
0, ,19,1,1,61,47,10483
0, ,19,1,1,61,47,10483
0, ,19,1,1,61,47,10483
   ,      ,21,1,   ,12,44,10536
   ,      ,21,1,   ,12,44,10536
   ,      ,21,1,   ,12,44,10536
30,1,21,1,N,12,44,10536
30,1,21,1,N,12,44,10536
30,1,21,1,N,12,44,10536
50,1,21,1,N,12,44,10536
50,1,21,1,N,12,44,10536
50,1,21,1,N,12,44,10536
50,1,2,1,N,27,4,10593
50,1,2,1,N,27,4,10593
50,1,2,1,N,27,4,10593
 ,   ,2,1,N,27,4,10593
 ,   ,2,1,N,27,4,10593
 ,   ,2,1,N,27,4,10593
G13,1,2,1, ,27,4,10593
G13,1,2,1, ,27,4,10593
G13,1,2,1, ,27,4,10593
10,1,13,1,N,34,5,10704
10,1,13,1,N,34,5,10704
10,1,13,1,N,34,5,10704
G17,1,13,1, ,34,5,10704
G17,1,13,1, ,34,5,10704
G17,1,13,1, ,34,5,10704
G08,1,13,1, ,34,5,10704
G08,1,13,1, ,34,5,10704
G08,1,13,1, ,34,5,10704
   ,      ,6,1,   ,62,47,10954
   ,      ,6,1,   ,62,47,10954
   ,      ,6,1,   ,62,47,10954
30,1,6,1,N,62,47,10954
30,1,6,1,N,62,47,10954
30,1,6,1,N,62,47,10954
P01,      ,10,1,   ,11,18,10992
P01,      ,10,1,   ,11,18,10992
P01,      ,10,1,   ,11,18,10992
10,1,10,1,N,11,18,10992
10,1,10,1,N,11,18,10992
10,1,10,1,N,11,18,10992
G02,1,21,1, ,83,44,10854
G02,1,21,1, ,83,44,10854
G02,1,21,1, ,83,44,10854
G11,1,21,1, ,83,44,10854
G11,1,21,1, ,83,44,10854
G11,1,21,1, ,83,44,10854
0, ,21,1,1,83,44,10854
0, ,21,1,1,83,44,10854
0, ,21,1,1,83,44,10854
 ,   ,11,1,N,8,33,10076
 ,   ,11,1,N,8,33,10076
 ,   ,11,1,N,8,33,10076
 ,   ,11,1,N,8,33,10076
