BudgetPeriod,Budget Amount,BudgetYear,Customer Number,textBudgetPeriod
1,55286.73,2008,10025025,Jan
1,56872.22,2008,10015267,Jan
1,57358.17,2008,10018603,Jan
1,58841.7,2008,10026348,Jan
1,59841.13,2008,10021911,Jan
1,66183.59,2008,10020927,Jan
1,70386.66,2008,10007134,Jan
1,73918.85,2008,10023538,Jan
1,78762.91,2008,10020181,Jan
1,81657.02,2008,10009356,Jan
1,88075.89,2008,10025919,Jan
1,91936.18,2008,10025022,Jan
1,99934.07,2008,10009606,Jan
1,105127.41,2008,10017828,Jan
1,107062.78,2008,10013238,Jan
1,135853.83,2008,10021223,Jan
1,153628.89,2008,10018871,Jan
1,163905.2,2008,10025063,Jan
1,174892.31,2008,10020184,Jan
1,202134.43,2008,10023023,Jan
1,403007.37,2008,10025241,Jan
1,492150.47,2008,10025052,Jan
1,567856.03,2008,10021485,Jan
1,793800.06,2008,10025024,Jan
1,0,2008,10015325,Jan
1,0,2008,10025269,Jan
1,0,2008,10022755,Jan
1,0,2008,10017072,Jan
1,0,2008,10014495,Jan
1,0,2008,10018352,Jan
1,0,2008,10020445,Jan
1,0,2008,10017036,Jan
1,0,2008,10023275,Jan
1,0,2008,10025061,Jan
1,0,2008,10016045,Jan
1,0,2008,10019900,Jan
1,0,2008,10008593,Jan
1,0,2008,10010698,Jan
1,0,2008,10023471,Jan
1,0,2008,10023516,Jan
1,0,2008,10022167,Jan
1,0,2008,10027381,Jan
1,0,2008,10025549,Jan
1,0,2008,10011981,Jan
1,0,2008,10006093,Jan
1,0,2008,10023235,Jan
1,0,2008,10004255,Jan
1,0,2008,10026581,Jan
1,0,2008,10025284,Jan
1,0,2008,10027082,Jan
1,0,2008,10023489,Jan
1,0,2008,10019678,Jan
1,0,2008,10026522,Jan
1,0,2008,10025287,Jan
1,0,2008,10016564,Jan
1,0,2008,10020639,Jan
1,0,2008,10025038,Jan
1,0,2008,10024010,Jan
1,0,2008,10018867,Jan
1,0,2008,10025248,Jan
1,0,2008,10007123,Jan
1,0,2008,10025583,Jan
1,0,2008,10025021,Jan
1,0,2008,10025299,Jan
1,0,2008,10026078,Jan
1,0,2008,10000466,Jan
1,0,2008,10019388,Jan
1,0,2008,10020663,Jan
1,0,2008,10017852,Jan
1,0,2008,10025778,Jan
1,0,2008,10013188,Jan
1,0,2008,10015275,Jan
1,0,2008,10023783,Jan
1,0,2008,10020662,Jan
1,0,2008,10026336,Jan
1,0,2008,10017553,Jan
1,0,2008,10010935,Jan
1,0,2008,10007566,Jan
1,0,2008,10021179,Jan
1,0,2008,10008134,Jan
1,0,2008,10009633,Jan
1,0,2008,10025251,Jan
1,0,2008,10022750,Jan
1,0,2008,10021222,Jan
1,0,2008,10013232,Jan
1,0,2008,10015011,Jan
1,0,2008,10025552,Jan
1,0,2008,10019909,Jan
1,0,2008,10022490,Jan
1,0,2008,10010912,Jan
1,0,2008,10020915,Jan
1,0,2008,10026299,Jan
1,0,2008,10011732,Jan
1,0,2008,10009653,Jan
1,0,2008,10025243,Jan
1,0,2008,10023964,Jan
1,0,2008,10027119,Jan
1,0,2008,10026606,Jan
1,0,2008,10018628,Jan
1,0,2008,10009657,Jan
1,0,2008,10007355,Jan
1,0,2008,10023003,Jan
1,0,2008,10000472,Jan
1,0,2008,10020914,Jan
1,0,2008,10025051,Jan
1,0,2008,10015793,Jan
1,0,2008,10011734,Jan
1,0,2008,10024725,Jan
1,0,2008,10009639,Jan
1,0,2008,10018665,Jan
1,0,2008,10021936,Jan
1,0,2008,10014238,Jan
1,0,2008,10009645,Jan
1,0,2008,10025575,Jan
1,0,2008,10009907,Jan
1,0,2008,10015824,Jan
1,0,2008,10006862,Jan
1,0,2008,10023241,Jan
1,0,2008,10021470,Jan
1,0,2008,10014471,Jan
1,0,2008,10017638,Jan
1,0,2008,10024034,Jan
1,0,2008,10025252,Jan
1,0,2008,10025285,Jan
1,0,2008,10000460,Jan
1,0,2008,10021986,Jan
1,0,2008,10016549,Jan
1,0,2008,10024270,Jan
1,0,2008,10025495,Jan
1,0,2008,10025237,Jan
1,0,2008,10007121,Jan
1,0,2008,10025791,Jan
1,0,2008,10024260,Jan
1,0,2008,10014546,Jan
1,0,2008,10027370,Jan
1,0,2008,10002765,Jan
1,0,2008,10021412,Jan
1,0,2008,10016588,Jan
1,0,2008,10005006,Jan
1,0,2008,10024006,Jan
1,0,2008,10026294,Jan
1,0,2008,10019942,Jan
1,0,2008,10020192,Jan
1,0,2008,10009985,Jan
1,0,2008,10022687,Jan
1,0,2008,10021160,Jan
1,0,2008,10012422,Jan
1,0,2008,10024016,Jan
1,0,2008,10009652,Jan
1,0,2008,10011979,Jan
1,0,2008,10021736,Jan
1,0,2008,10020449,Jan
1,0,2008,10026868,Jan
1,0,2008,10024248,Jan
1,0,2008,10023715,Jan
1,0,2008,10026348,Jan
1,0,2008,10021911,Jan
1,0,2008,10020927,Jan
1,0,2008,10023538,Jan
1,0,2008,10025919,Jan
1,0,2008,10013238,Jan
1,0,2008,10021223,Jan
1,0,2008,10018871,Jan
1,0,2008,10025063,Jan
1,0,2008,10023023,Jan
1,0,2008,10025241,Jan
1,0,2008,10025052,Jan
1,0,2008,10021485,Jan
1,0,2008,10021184,Jan
1,0,2008,10009623,Jan
1,0,2008,10002746,Jan
1,0,2008,10024999,Jan
1,0,2008,10006037,Jan
1,0,2008,10007268,Jan
1,0,2008,10013137,Jan
1,0,2008,10002138,Jan
1,0,2008,10018950,Jan
1,0,2008,10022249,Jan
1,0,2008,10006805,Jan
1,0,2008,10013252,Jan
1,0,2008,10025267,Jan
1,0,2008,10023785,Jan
1,0,2008,10010904,Jan
1,0,2008,10016303,Jan
1,0,2008,10023244,Jan
1,0,2008,10012799,Jan
1,0,2008,10012399,Jan
1,0,2008,10011724,Jan
1,0,2008,10014064,Jan
1,0,2008,10007163,Jan
1,0,2008,10020340,Jan
1,0,2008,10021575,Jan
1,0,2008,10021242,Jan
1,0,2008,10020256,Jan
1,0,2008,10018890,Jan
1,0,2008,10024246,Jan
1,0,2008,10025039,Jan
1,0,2008,10010855,Jan
1,0,2008,10022978,Jan
1,0,2008,10026291,Jan
1,0,2008,10025515,Jan
1,0,2008,10025288,Jan
1,0,2008,10020909,Jan
1,0,2008,10019617,Jan
1,0,2008,10021270,Jan
1,0,2008,10017314,Jan
1,0,2008,10023760,Jan
1,0,2008,10002154,Jan
1,0,2008,10021380,Jan
1,0,2008,10027053,Jan
1,0,2008,10026268,Jan
1,0,2008,10025758,Jan
1,0,2008,10016780,Jan
1,0,2008,10021297,Jan
1,0,2008,10025239,Jan
1,0,2008,10000474,Jan
1,0,2008,10010923,Jan
1,0,2008,10011923,Jan
1,0,2008,10011499,Jan
1,0,2008,10024255,Jan
1,0,2008,10025246,Jan
1,0,2008,10021203,Jan
1,0,2008,10021286,Jan
1,0,2008,10020864,Jan
1,0,2008,10009156,Jan
1,0,2008,10006919,Jan
1,0,2008,10017290,Jan
1,0,2008,10020849,Jan
1,0,2008,10014810,Jan
1,0,2008,10002136,Jan
1,0,2008,10000458,Jan
1,0,2008,10003857,Jan
1,0,2008,10020281,Jan
1,0,2008,10021305,Jan
1,0,2008,10021107,Jan
1,0,2008,10025242,Jan
1,0,2008,10024477,Jan
1,0,2008,10012369,Jan
1,0,2008,10027572,Jan
1,0,2008,10024022,Jan
1,0,2008,10006917,Jan
1,0,2008,10020413,Jan
1,0,2008,10013052,Jan
1,0,2008,10020868,Jan
1,0,2008,10025247,Jan
1,0,2008,10002520,Jan
1,0,2008,10005236,Jan
1,0,2008,10019682,Jan
1,0,2008,10020388,Jan
1,0,2008,10016784,Jan
1,0,2008,10007536,Jan
1,0,2008,10007253,Jan
1,0,2008,10015956,Jan
1,0,2008,10007866,Jan
1,0,2008,10002150,Jan
1,0,2008,10025298,Jan
1,0,2008,10005861,Jan
1,0,2008,10013670,Jan
1,0,2008,10020491,Jan
1,0,2008,10011089,Jan
1,0,2008,10023780,Jan
1,0,2008,10020364,Jan
1,0,2008,10023759,Jan
1,0,2008,10025062,Jan
1,0,2008,10021331,Jan
1,0,2008,10021668,Jan
1,0,2008,10002137,Jan
1,0,2008,10020390,Jan
1,0,2008,10011842,Jan
1,0,2008,10019420,Jan
1,0,2008,10019913,Jan
1,0,2008,10024499,Jan
1,0,2008,10024704,Jan
1,0,2008,10013426,Jan
1,0,2008,10027583,Jan
1,0,2008,10009654,Jan
1,0,2008,10002501,Jan
1,0,2008,10008638,Jan
1,0,2008,10023703,Jan
1,0,2008,10002709,Jan
1,0,2008,10018623,Jan
1,0,2008,10013127,Jan
1,0,2008,10008381,Jan
1,0,2008,10021111,Jan
1,0,2008,10011198,Jan
1,0,2008,10025771,Jan
1,0,2008,10022746,Jan
1,0,2008,10023022,Jan
1,0,2008,10002115,Jan
1,0,2008,10013899,Jan
1,0,2008,10021459,Jan
1,0,2008,10009662,Jan
1,0,2008,10017585,Jan
1,0,2008,10006983,Jan
1,0,2008,10009642,Jan
1,0,2008,10018129,Jan
1,0,2008,10024541,Jan
1,0,2008,10013039,Jan
1,0,2008,10015886,Jan
1,0,2008,10009660,Jan
1,0,2008,10023757,Jan
1,0,2008,10019469,Jan
1,0,2008,10012600,Jan
1,0,2008,10027575,Jan
1,0,2008,10011093,Jan
1,0,2008,10020227,Jan
1,0,2008,10009672,Jan
1,0,2008,10024743,Jan
1,0,2008,10008602,Jan
1,0,2008,10013870,Jan
1,0,2008,10026055,Jan
1,0,2008,10011821,Jan
1,0,2008,10015030,Jan
1,0,2008,10007258,Jan
1,0,2008,10018363,Jan
1,0,2008,10019150,Jan
1,0,2008,10006836,Jan
1,0,2008,10025037,Jan
1,0,2008,10010974,Jan
1,0,2008,10019066,Jan
1,0,2008,10026843,Jan
1,0,2008,10014779,Jan
1,0,2008,10013871,Jan
1,0,2008,10025238,Jan
1,0,2008,10021804,Jan
1,0,2008,10004602,Jan
1,0,2008,10002140,Jan
1,0,2008,10025302,Jan
1,0,2008,10002161,Jan
1,0,2008,10021494,Jan
1,0,2008,10011546,Jan
1,0,2008,10025291,Jan
1,0,2008,10011600,Jan
1,0,2008,10027356,Jan
1,0,2008,10011360,Jan
1,0,2008,10018885,Jan
1,0,2008,10009643,Jan
1,0,2008,10020492,Jan
1,0,2008,10017576,Jan
1,0,2008,10010970,Jan
1,0,2008,10011623,Jan
1,0,2008,10012023,Jan
1,0,2008,10018868,Jan
1,0,2008,10020193,Jan
1,0,2008,10019952,Jan
1,0,2008,10013061,Jan
1,0,2008,10002142,Jan
1,0,2008,10007183,Jan
1,0,2008,10025296,Jan
1,0,2008,10006916,Jan
2,-10897.35,2008,10010914,Feb
2,-10006.97,2008,10016807,Feb
2,-2054.88,2008,10024022,Feb
2,-1587.44,2008,10019388,Feb
2,-513.18,2008,10000481,Feb
2,-182.52,2008,10009653,Feb
2,-11.74,2008,10018580,Feb
2,8.24,2008,10018603,Feb
2,14.78,2008,10009639,Feb
2,15.49,2008,10016784,Feb
2,23.19,2008,10014047,Feb
2,24.33,2008,10008593,Feb
2,26.71,2008,10010969,Feb
2,29.88,2008,10022962,Feb
2,35.14,2008,10024009,Feb
2,37.04,2008,10026291,Feb
2,37.61,2008,10027381,Feb
2,38.56,2008,10020445,Feb
2,48.96,2008,10019664,Feb
2,50.75,2008,10022166,Feb
2,55.86,2008,10007122,Feb
2,61.05,2008,10020672,Feb
2,63.23,2008,10019678,Feb
2,66.79,2008,10021175,Feb
2,68.9,2008,10021472,Feb
2,86.47,2008,10011732,Feb
2,96.8,2008,10025021,Feb
2,114.02,2008,10022201,Feb
2,129.35,2008,10022434,Feb
2,130.92,2008,10018623,Feb
2,140.36,2008,10024524,Feb
2,142.18,2008,10011521,Feb
2,145.93,2008,10000474,Feb
2,147.13,2008,10022431,Feb
2,155.48,2008,10018628,Feb
2,163.94,2008,10025287,Feb
2,165.79,2008,10025032,Feb
2,172.3,2008,10020639,Feb
2,181.21,2008,10019109,Feb
2,195.64,2008,10025023,Feb
2,196.98,2008,10025285,Feb
2,198.81,2008,10025305,Feb
2,199.57,2008,10020662,Feb
2,220.05,2008,10002489,Feb
2,221.59,2008,10009657,Feb
2,229.85,2008,10000469,Feb
2,237.94,2008,10025034,Feb
2,255.64,2008,10010698,Feb
2,278.64,2008,10016564,Feb
2,280.52,2008,10011724,Feb
2,284.34,2008,10026521,Feb
2,289.27,2008,10018867,Feb
2,291.29,2008,10024262,Feb
2,311.8,2008,10015011,Feb
2,313.68,2008,10026532,Feb
2,329.56,2008,10023275,Feb
2,336.56,2008,10021179,Feb
2,346.13,2008,10025575,Feb
2,349.73,2008,10025239,Feb
2,376.23,2008,10004256,Feb
2,413.29,2008,10019880,Feb
2,417.04,2008,10025571,Feb
2,417.19,2008,10020449,Feb
2,420.19,2008,10024003,Feb
2,429.61,2008,10025038,Feb
2,434.23,2008,10025284,Feb
2,434.61,2008,10009679,Feb
2,442.33,2008,10021203,Feb
2,442.37,2008,10025250,Feb
2,451.6,2008,10023513,Feb
2,453.52,2008,10009647,Feb
2,484.68,2008,10026062,Feb
2,485.39,2008,10024725,Feb
2,491.19,2008,10027082,Feb
2,491.88,2008,10013188,Feb
2,492.81,2008,10026868,Feb
2,502.37,2008,10026522,Feb
2,549.69,2008,10026006,Feb
2,563.95,2008,10017576,Feb
2,660.41,2008,10019900,Feb
2,673.23,2008,10025248,Feb
2,678.84,2008,10014495,Feb
2,697.64,2008,10004255,Feb
2,699.15,2008,10012234,Feb
2,725.59,2008,10014533,Feb
2,725.87,2008,10000473,Feb
2,767.92,2008,10025291,Feb
2,814.23,2008,10018352,Feb
2,816.76,2008,10021184,Feb
2,817.65,2008,10025238,Feb
2,826.28,2008,10000455,Feb
2,829.29,2008,10013232,Feb
2,885.38,2008,10024246,Feb
2,886.44,2008,10017307,Feb
2,889.65,2008,10020931,Feb
2,892.21,2008,10021936,Feb
2,907.87,2008,10025778,Feb
2,1022.01,2008,10003795,Feb
2,1053.14,2008,10019909,Feb
2,1054.21,2008,10000460,Feb
2,1058.95,2008,10023511,Feb
2,1079.56,2008,10009642,Feb
2,1080.02,2008,10025036,Feb
2,1120.03,2008,10020962,Feb
2,1124.1,2008,10022725,Feb
2,1134.41,2008,10023783,Feb
2,1164.96,2008,10026299,Feb
2,1170.18,2008,10014803,Feb
2,1186.07,2008,10023793,Feb
2,1201.18,2008,10026581,Feb
2,1202.04,2008,10000462,Feb
2,1289.4,2008,10025495,Feb
2,1321.76,2008,10022249,Feb
2,1357.47,2008,10004245,Feb
2,1396.96,2008,10007566,Feb
2,1424.4,2008,10025264,Feb
2,1442.76,2008,10006093,Feb
2,1461.31,2008,10021145,Feb
2,1514.53,2008,10022168,Feb
2,1541.26,2008,10011734,Feb
2,1541.66,2008,10009907,Feb
2,1641.59,2008,10022730,Feb
2,1652.93,2008,10017553,Feb
2,1665.63,2008,10022732,Feb
2,1720.13,2008,10010884,Feb
2,1782.89,2008,10004516,Feb
2,1820.47,2008,10016334,Feb
2,1863.41,2008,10014469,Feb
2,1876.28,2008,10026861,Feb
2,1998.38,2008,10026560,Feb
2,2040.11,2008,10020663,Feb
2,2045.27,2008,1000601,Feb
2,2120.23,2008,10020927,Feb
2,2125.24,2008,10014739,Feb
2,2136.22,2008,10026078,Feb
2,2156.26,2008,10010935,Feb
2,2385.3,2008,10000472,Feb
2,2453.86,2008,10025061,Feb
2,2482.72,2008,10010887,Feb
2,2564.56,2008,10011997,Feb
2,2629.9,2008,10018665,Feb
2,2695.43,2008,10015275,Feb
2,2722.35,2008,10010717,Feb
2,2724,2008,10023235,Feb
2,2725.8,2008,10000466,Feb
2,2734.4,2008,10016045,Feb
2,2781.45,2008,10007309,Feb
2,2808,2008,10021139,Feb
2,2837.04,2008,10023964,Feb
2,2978.01,2008,10011981,Feb
2,3101.54,2008,10021231,Feb
2,3125.12,2008,10025267,Feb
2,3172.27,2008,10021996,Feb
2,3276.09,2008,10017072,Feb
2,3339.45,2008,10027119,Feb
2,3367.53,2008,10000461,Feb
2,3806.02,2008,10006836,Feb
2,4118.4,2008,10025583,Feb
2,4271.63,2008,10019665,Feb
2,4319.69,2008,10025560,Feb
2,4397.99,2008,10021412,Feb
2,4446.58,2008,10024034,Feb
2,4504.26,2008,10023447,Feb
2,4587.44,2008,10006862,Feb
2,4641.43,2008,10009633,Feb
2,4784.92,2008,10025049,Feb
2,4797.62,2008,10025033,Feb
2,4855.39,2008,10026294,Feb
2,4942.39,2008,10014238,Feb
2,5042.5,2008,10015325,Feb
2,5521.21,2008,10021204,Feb
2,5608.65,2008,10015793,Feb
2,5609.32,2008,10007355,Feb
2,5748.06,2008,10023471,Feb
2,5781.31,2008,10022750,Feb
2,5834.7,2008,10020181,Feb
2,5948.1,2008,10016780,Feb
2,6132.97,2008,10022456,Feb
2,6210.47,2008,10020907,Feb
2,6664.05,2008,10018644,Feb
2,7025.52,2008,10023778,Feb
2,7207.37,2008,10009672,Feb
2,7217.51,2008,10025269,Feb
2,7298.38,2008,10000478,Feb
2,7354.99,2008,10014264,Feb
2,7357.37,2008,10025237,Feb
2,7419.06,2008,10025289,Feb
2,7425.36,2008,10015495,Feb
2,7535.9,2008,10027560,Feb
2,7585.42,2008,10022678,Feb
2,7761.58,2008,10000475,Feb
2,7831.84,2008,10009631,Feb
2,7964.01,2008,10023489,Feb
2,8117.79,2008,10025242,Feb
2,8171.93,2008,10027370,Feb
2,8183.24,2008,10014804,Feb
2,8321.09,2008,10018363,Feb
2,8332.03,2008,10025252,Feb
2,8589.22,2008,10025051,Feb
2,8712.75,2008,10004302,Feb
2,8767.61,2008,10026606,Feb
2,9021.71,2008,10019897,Feb
2,9101.84,2008,10025299,Feb
2,9514.9,2008,10022687,Feb
2,9535.55,2008,10023703,Feb
2,9607.41,2008,10007123,Feb
2,9651.08,2008,10021470,Feb
2,9769.43,2008,10010886,Feb
2,9771.51,2008,10012235,Feb
2,9826.71,2008,10009669,Feb
2,9858.56,2008,10024270,Feb
2,10017.6,2008,10007121,Feb
2,10412.98,2008,10022240,Feb
2,10585.53,2008,10021986,Feb
2,10942.61,2008,10025243,Feb
2,11283.32,2008,10016303,Feb
2,11328.88,2008,10011398,Feb
2,11497.23,2008,10024260,Feb
2,11617.4,2008,10022490,Feb
2,11656.51,2008,10025022,Feb
2,12313.57,2008,10002220,Feb
2,12454.05,2008,10015030,Feb
2,12577.55,2008,10016047,Feb
2,12637.16,2008,10025251,Feb
2,12929.65,2008,10026839,Feb
2,13240.57,2008,10025515,Feb
2,13395.16,2008,10002520,Feb
2,14364.15,2008,10016549,Feb
2,14578.75,2008,10010912,Feb
2,14615.9,2008,10002709,Feb
2,14974.61,2008,10016858,Feb
2,15248.33,2008,10022450,Feb
2,16269.32,2008,10019942,Feb
2,16612.84,2008,10021977,Feb
